                                                                                                             List of functions
 Schema |               Name               |  Result data type  |          Argument data types           | Type | Volatility | Parallel | Owner  | Security | Access privileges | Language |          Internal name           | Description 
 public | sparsevec                        | sparsevec          | sparsevec, integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec                        | 
 public | sparsevec_cmp                    | integer            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_cmp                    | 
 public | sparsevec_eq                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_eq                     | 
 public | sparsevec_ge                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_ge                     | 
 public | sparsevec_gt                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_gt                     | 
 public | sparsevec_in                     | sparsevec          | cstring, oid, integer                  | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_in                     | 
 public | sparsevec_l2_squared_distance    | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_l2_squared_distance    | 
 public | sparsevec_le                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_le                     | 
 public | sparsevec_lt                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_lt                     | 
 public | sparsevec_ne                     | boolean            | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_ne                     | 
 public | sparsevec_negative_inner_product | double precision   | sparsevec, sparsevec                   | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_negative_inner_product | 
 public | sparsevec_out                    | cstring            | sparsevec                              | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_out                    | 
 public | sparsevec_recv                   | sparsevec          | internal, oid, integer                 | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_recv                   | 
 public | sparsevec_send                   | bytea              | sparsevec                              | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_send                   | 
 public | sparsevec_to_halfvec             | halfvec            | sparsevec, integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_to_halfvec             | 
 public | sparsevec_to_vector              | vector             | sparsevec, integer, boolean            | func | immutable  | safe     | cortex | invoker  |                   | c        | sparsevec_to_vector              | 
